tem,rain,rain%,cloud,pressure,wind,gust,forecast,dateTime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
27,0,0,43,1012,9,16,14,2009101300,0,0,0,0,0,0,0,0,0,1,0,0
25,0.1,0,70,1011,13,22,1,2009101303,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,38,1012,8,14,14,2009101306,0,0,0,0,0,0,0,0,0,1,0,0
25,15.9,0,82,1013,13,22,3,2009101309,0,0,0,0,0,0,0,0,0,1,0,0
25,17.9,0,99,1011,10,16,3,2009101312,0,0,0,0,0,0,0,0,0,1,0,0
22,7.1,0,100,1011,13,22,11,2009101315,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,93,1012,15,28,13,2009101318,0,0,0,0,0,0,0,0,0,1,0,0
22,4.8,0,77,1014,13,21,9,2009101321,0,0,0,0,0,0,0,0,0,1,0,0
21,2.2,0,93,1013,11,19,6,2009101400,0,0,0,0,0,0,0,0,0,1,0,0
21,3.2,0,100,1013,15,26,11,2009101403,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,99,1015,16,29,13,2009101406,0,0,0,0,0,0,0,0,0,1,0,0
21,1.6,0,100,1015,17,30,6,2009101409,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,100,1014,16,27,13,2009101412,0,0,0,0,0,0,0,0,0,1,0,0
20,0.6,0,100,1014,13,21,5,2009101415,0,0,0,0,0,0,0,0,0,1,0,0
19,0,0,100,1015,13,23,8,2009101418,0,0,0,0,0,0,0,0,0,1,0,0
20,3.1,0,100,1017,10,16,11,2009101421,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,100,1016,10,16,2,2009101500,0,0,0,0,0,0,0,0,0,1,0,0
20,11.9,0,100,1015,10,15,3,2009101503,0,0,0,0,0,0,0,0,0,1,0,0
19,5.7,0,100,1016,14,22,11,2009101506,0,0,0,0,0,0,0,0,0,1,0,0
20,1.9,0,100,1018,10,16,6,2009101509,0,0,0,0,0,0,0,0,0,1,0,0
21,1.1,0,100,1017,10,14,6,2009101512,0,0,0,0,0,0,0,0,0,1,0,0
25,0.1,0,84,1015,8,12,1,2009101515,0,0,0,0,0,0,0,0,0,1,0,0
21,0.1,0,79,1015,9,16,8,2009101518,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,74,1017,7,12,8,2009101521,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,75,1016,5,8,8,2009101600,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,71,1015,6,10,8,2009101603,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,63,1015,5,8,1,2009101606,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,50,1016,7,8,14,2009101609,0,0,0,0,0,0,0,0,0,1,0,0
33,0,0,50,1013,4,5,14,2009101612,0,0,0,0,0,0,0,0,0,1,0,0
34,0,0,26,1010,1,2,14,2009101615,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,20,1012,8,17,8,2009101618,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,17,1013,4,9,0,2009101621,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,43,1012,4,8,8,2009101700,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,43,1011,5,10,14,2009101703,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,62,1012,7,11,14,2009101706,0,0,0,0,0,0,0,0,0,1,0,0
32,0.1,0,42,1012,5,6,14,2009101709,0,0,0,0,0,0,0,0,0,1,0,0
36,1.2,0,37,1009,3,3,18,2009101712,0,0,0,0,0,0,0,0,0,1,0,0
35,0.4,0,44,1007,4,5,18,2009101715,0,0,0,0,0,0,0,0,0,1,0,0
28,0.4,0,21,1009,3,5,18,2009101718,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,13,1010,5,10,0,2009101721,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,17,1010,3,6,8,2009101800,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,18,1009,2,4,8,2009101803,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,21,1011,1,1,0,2009101806,0,0,0,0,0,0,0,0,0,1,0,0
36,0,0,10,1011,1,2,0,2009101809,0,0,0,0,0,0,0,0,0,1,0,0
39,0,0,8,1009,3,3,0,2009101812,0,0,0,0,0,0,0,0,0,1,0,0
39,0,0,6,1007,4,5,0,2009101815,0,0,0,0,0,0,0,0,0,1,0,0
30,0,0,4,1009,7,14,0,2009101818,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,9,1011,6,11,0,2009101821,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,9,1010,2,4,0,2009101900,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,7,1009,4,8,0,2009101903,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,8,1011,2,2,0,2009101906,0,0,0,0,0,0,0,0,0,1,0,0
35,0,0,15,1011,3,4,0,2009101909,0,0,0,0,0,0,0,0,0,1,0,0
40,0,0,12,1008,2,2,0,2009101912,0,0,0,0,0,0,0,0,0,1,0,0
40,0,0,7,1007,4,5,0,2009101915,0,0,0,0,0,0,0,0,0,1,0,0
31,0,0,11,1009,3,6,0,2009101918,0,0,0,0,0,0,0,0,0,1,0,0
28,0.2,0,40,1011,4,8,18,2009101921,0,0,0,0,0,0,0,0,0,1,0,0
27,1.9,0,35,1011,3,7,18,2009102000,0,0,0,0,0,0,0,0,0,1,0,0
26,2.4,0,57,1011,8,13,7,2009102003,0,0,0,0,0,0,0,0,0,1,0,0
26,1.1,0,91,1012,9,14,7,2009102006,0,0,0,0,0,0,0,0,0,1,0,0
28,1.2,0,93,1013,9,13,7,2009102009,0,0,0,0,0,0,0,0,0,1,0,0
31,1.3,0,61,1012,11,13,7,2009102012,0,0,0,0,0,0,0,0,0,1,0,0
31,0.5,0,36,1010,12,16,18,2009102015,0,0,0,0,0,0,0,0,0,1,0,0
26,0.2,0,60,1012,10,17,7,2009102018,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,94,1014,6,11,13,2009102021,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,100,1014,8,12,13,2009102100,0,0,0,0,0,0,0,0,0,1,0,0
