day,time,tem,rain,rain%,cloud,pressure,wind,gust,forecast
20211228.0,0.0,13.0,0.0,0.0,100.0,1026.0,7.0,10.0,13.0
20211228.0,3.0,13.0,0.0,0.0,100.0,1024.0,8.0,10.0,13.0
20211228.0,6.0,13.0,0.0,0.0,100.0,1024.0,6.0,9.0,13.0
20211228.0,9.0,14.0,0.0,0.0,100.0,1026.0,6.0,8.0,13.0
20211228.0,12.0,17.0,0.0,0.0,80.0,1024.0,6.0,6.0,1.0
20211228.0,15.0,19.0,0.0,0.0,45.0,1020.0,7.0,8.0,14.0
20211228.0,18.0,18.0,0.0,0.0,68.0,1021.0,9.0,13.0,1.0
20211228.0,21.0,18.0,0.0,0.0,64.0,1023.0,7.0,10.0,1.0
20211227.0,0.0,11.0,0.1,0.0,100.0,1025.0,17.0,23.0,18.0
20211227.0,3.0,10.0,0.0,0.0,100.0,1024.0,15.0,21.0,13.0
20211227.0,6.0,10.0,0.0,0.0,100.0,1025.0,15.0,21.0,13.0
20211227.0,9.0,10.0,0.0,0.0,100.0,1028.0,16.0,21.0,13.0
20211227.0,12.0,11.0,0.0,0.0,100.0,1026.0,13.0,17.0,13.0
20211227.0,15.0,12.0,0.0,0.0,100.0,1024.0,12.0,15.0,13.0
20211227.0,18.0,12.0,0.0,0.0,100.0,1024.0,10.0,13.0,13.0
20211227.0,21.0,12.0,0.0,0.0,100.0,1026.0,9.0,12.0,13.0
20211226.0,0.0,21.0,0.0,0.0,97.0,1020.0,6.0,8.0,13.0
20211226.0,3.0,20.0,0.0,0.0,100.0,1020.0,3.0,5.0,13.0
20211226.0,6.0,19.0,0.0,0.0,100.0,1020.0,5.0,8.0,13.0
20211226.0,9.0,18.0,0.0,0.0,100.0,1023.0,9.0,13.0,13.0
20211226.0,12.0,18.0,0.1,0.0,100.0,1022.0,11.0,15.0,18.0
20211226.0,15.0,16.0,0.0,0.0,100.0,1021.0,15.0,21.0,13.0
20211226.0,18.0,16.0,0.1,0.0,100.0,1023.0,20.0,24.0,18.0
20211226.0,21.0,12.0,0.0,0.0,100.0,1025.0,21.0,27.0,13.0
20211225.0,0.0,21.0,0.0,0.0,99.0,1017.0,3.0,4.0,13.0
20211225.0,3.0,21.0,0.0,0.0,85.0,1016.0,5.0,8.0,1.0
20211225.0,6.0,21.0,0.0,0.0,77.0,1017.0,4.0,7.0,1.0
20211225.0,9.0,21.0,0.2,0.0,66.0,1020.0,2.0,3.0,7.0
20211225.0,12.0,26.0,0.2,0.0,87.0,1018.0,8.0,11.0,7.0
20211225.0,15.0,27.0,0.6,0.0,100.0,1016.0,18.0,24.0,7.0
20211225.0,18.0,25.0,0.4,0.0,100.0,1018.0,12.0,17.0,7.0
20211225.0,21.0,20.0,0.0,0.0,100.0,1021.0,12.0,15.0,13.0
20211224.0,0.0,20.0,0.0,0.0,74.0,1015.0,9.0,14.0,1.0
20211224.0,3.0,19.0,0.0,0.0,89.0,1014.0,6.0,9.0,13.0
20211224.0,6.0,20.0,0.0,0.0,95.0,1015.0,2.0,3.0,13.0
20211224.0,9.0,21.0,0.0,0.0,97.0,1017.0,3.0,3.0,13.0
20211224.0,12.0,25.0,0.0,0.0,90.0,1015.0,8.0,9.0,13.0
20211224.0,15.0,25.0,0.0,0.0,67.0,1013.0,6.0,8.0,1.0
20211224.0,18.0,25.0,0.0,0.0,25.0,1014.0,8.0,12.0,14.0
20211224.0,21.0,25.0,0.0,0.0,90.0,1016.0,4.0,6.0,13.0
20211223.0,0.0,20.0,0.0,0.0,21.0,1015.0,10.0,17.0,0.0
20211223.0,3.0,19.0,0.0,0.0,20.0,1014.0,8.0,14.0,0.0
20211223.0,6.0,18.0,0.0,0.0,17.0,1015.0,5.0,9.0,0.0
20211223.0,9.0,21.0,0.0,0.0,11.0,1017.0,6.0,7.0,0.0
20211223.0,12.0,29.0,0.0,0.0,7.0,1014.0,8.0,9.0,0.0
20211223.0,15.0,31.0,0.0,0.0,4.0,1010.0,11.0,13.0,0.0
20211223.0,18.0,28.0,0.0,0.0,4.0,1011.0,18.0,21.0,0.0
20211223.0,21.0,21.0,0.0,0.0,22.0,1014.0,16.0,22.0,0.0
20211222.0,0.0,19.0,0.0,0.0,10.0,1017.0,6.0,12.0,0.0
20211222.0,3.0,18.0,0.0,0.0,11.0,1016.0,4.0,7.0,0.0
20211222.0,6.0,17.0,0.0,0.0,11.0,1017.0,4.0,7.0,0.0
20211222.0,9.0,20.0,0.0,0.0,13.0,1019.0,6.0,7.0,0.0
20211222.0,12.0,26.0,0.0,0.0,12.0,1016.0,4.0,4.0,0.0
20211222.0,15.0,29.0,0.0,0.0,9.0,1013.0,4.0,5.0,0.0
20211222.0,18.0,26.0,0.0,0.0,8.0,1013.0,6.0,9.0,0.0
20211222.0,21.0,21.0,0.0,0.0,6.0,1015.0,13.0,21.0,0.0
20211221.0,0.0,17.0,0.0,0.0,7.0,1018.0,6.0,12.0,0.0
20211221.0,3.0,16.0,0.0,0.0,7.0,1017.0,6.0,11.0,0.0
20211221.0,6.0,16.0,0.0,0.0,7.0,1018.0,8.0,14.0,0.0
20211221.0,9.0,20.0,0.0,0.0,7.0,1020.0,11.0,13.0,0.0
20211221.0,12.0,25.0,0.0,0.0,6.0,1017.0,12.0,14.0,0.0
20211221.0,15.0,28.0,0.0,0.0,5.0,1014.0,7.0,8.0,0.0
20211221.0,18.0,25.0,0.0,0.0,5.0,1015.0,3.0,4.0,0.0
20211221.0,21.0,21.0,0.0,0.0,7.0,1017.0,6.0,12.0,0.0
20211220.0,0.0,19.0,0.0,0.0,21.0,1019.0,5.0,8.0,0.0
20211220.0,3.0,19.0,0.0,0.0,32.0,1018.0,4.0,6.0,14.0
20211220.0,6.0,17.0,0.0,0.0,45.0,1018.0,4.0,6.0,14.0
20211220.0,9.0,19.0,0.0,0.0,80.0,1020.0,8.0,10.0,1.0
20211220.0,12.0,21.0,0.0,0.0,60.0,1018.0,9.0,11.0,14.0
20211220.0,15.0,24.0,0.0,0.0,20.0,1016.0,9.0,10.0,0.0
20211220.0,18.0,20.0,0.0,0.0,20.0,1017.0,8.0,13.0,0.0
20211220.0,21.0,19.0,0.0,0.0,21.0,1018.0,9.0,15.0,0.0
